"Star_code":"star":"DISTANCE FROM THE SUN":"TEMPERATURE":"relative mass":"star radius":"LUMINOSITY":"type of star"
1037:"Obelisk Beacon":280.71:5442:1:1.05:1.21:"G|5|V"
7116:"Kiseki Expanse":947.149:2605:0.4:0.7:0.06:"M|2|V"
8619:"Ephemeral Phoenix":566.189:2409:0.2:0.5:0.06:"M|2|V"
1296:"Anubis' Echo":488.353:4028:0.7:0.88:0.6:"K|5|V"
3844:"Lunar Quasar":1138.95:2510:0.1:0.53:0.06:"M|3|V"
3795:"Nikawiy":593.93:5443:0.9:0.98:1.38:"G|2|V"
6681:"Pulsar Seraph":816.727:2962:0.4:0.07:0.04:"M|2|V"
3062:"Helixarian":65.7:4192:0.5:0.83:0.52:"K|6|V"
7138:"Thunderhoof":466.86:3020:0.2:0.21:0.06:"M|1|V"
6733:"Cosmoth":208.221:4965:0.7:0.7:0.23:"K|0|V"
7894:"Alsephina":210.4:2593:0.2:0.61:0.08:"M|5|V"
228:"Revati":947.508:2624:0.1:0.58:0.06:"M|3|V"
9268:"Paikauhale":17.3:3068:0.2:0.08:0.06:"M|3|V"
8090:"Procyon":29.16:2837:0.2:0.08:0.01:"M|5|V"
4882:"Astraflame":922.169:2441:0.3:0.66:0.05:"M|5|V"
9100:"Skjoldr":517.572:4307:0.7:0.87:0.55:"K|2|V"
7227:"Cosmic Shadows":34.4:2630:0.4:0.06:0.02:"M|1|V"
618:"Skaldspark":497:4679:0.7:0.71:0.35:"K|2|V"
5932:"Setsuna":558.141:5539:0.9:1.12:0.61:"G|4|V"
5332:"Yūgen Shadows":211.43:2570:0.3:0.62:0.02:"M|6|V"
3800:"Kaze":706.14:4001:0.7:0.87:0.16:"K|7|V"
5017:"Quasarionyx":173.117:3729:0.6:0.8:0.36:"K|5|V"
7328:"Celestial Echo":328.007:2943:0.3:0.44:0.03:"M|0|V"
6828:"Hanabi":1106.61:5718:0.9:1.11:0.71:"G|2|V"
8944:"Hunor":731.904:2696:0.3:0.36:0.01:"M|6|V"
3518:"Spectronix":84.0126:3958:0.5:0.79:0.32:"K|7|V"
8043:"Timir":483:4482:0.7:0.91:0.14:"K|2|V"
2947:"Zephyriax":325:3025:0.2:0.59:0.06:"M|1|V"
7011:"Eternal Murmurs":811.89:3992:0.6:0.91:0.36:"K|5|V"
4395:"Bonsai Celestial":223.55:3364:0.4:0.59:0.06:"M|2|V"
1781:"Skybreaker":705.368:2575:0.3:0.52:0.05:"M|5|V"
2400:"Cryptic Shadows":1363.19:2522:0.4:0.41:0.08:"M|5|V"
5425:"Rasalhague":345.638:5405:1:0.98:0.99:"G|2|V"
8111:"Galaxix":968.054:5567:0.8:1.13:0.63:"G|2|V"
3980:"Nebula Whisper":751:2911:0.2:0.27:0:"M|3|V"
9360:"Fomalhaut":1639.08:3493:0.2:0.35:0.01:"M|1|V"
9694:"Nocturnal Silence":312.666:4022:0.6:0.73:0.54:"K|0|V"
6991:"Mebsuta":547.765:2645:0.3:0.16:0.06:"M|5|V"
4309:"Pharaoh's Reverie":804.246:2903:0.2:0.17:0.03:"M|2|V"
5149:"Achird":1576.29:2837:0.1:0.31:0:"M|0|V"
8570:"Helixar":31.07:3014:0.3:0.41:0.04:"M|2|V"
7557:"Mirzam":1645.01:2648:0.2:0.63:0.04:"M|0|V"
4621:"Cujam":657:4020:0.6:0.74:0.13:"K|7|V"
3025:"Ketsueki Whispers":608.78:3204:0.3:0.35:0.04:"M|0|V"
4702:"Tapecue":98.75:2454:0.2:0.21:0.04:"M|3|V"
5456:"Albaldah":56.163:4298:0.6:0.82:0.53:"K|5|V"
5556:"Tegmine":772.8:2589:0.3:0.13:0.04:"M|2|V"
5647:"Aurum Quasar":777.665:2910:0.4:0.22:0:"M|5|V"
575:"Alsafi":17.62:2417:0.2:0.11:0.08:"M|5|V"
9892:"Cosmosol":111:3902:0.7:0.95:0.28:"K|7|V"
871:"Illyrian":123.202:3580:0.2:0.54:0.07:"M|0|V"
2812:"Vermilion Expanse":414:4693:0.6:0.84:0.48:"K|2|V"
6739:"Astral Mirage":735.9:2918:0.3:0.63:0.03:"M|4|V"
